Country (or dependent territory),1985,%,1990,%.1,1995,%.2,2000,%.3,2005,%.4,2010,%.5,2015,%.6
Republic of the Congo,1927,2.83,2221,2.89,2570,2.95,2940,2.73,3473,3.39,4238,4.06,4756,2.33
Romania,22522,0.35,22866,0.3,22688,-0.16,22448,-0.21,22198,-0.22,21960,-0.22,21667,-0.27
Russia,143938,0.69,147973,0.55,148759,0.11,147054,-0.23,143320,-0.51,142527,-0.11,142424,-0.01
Rwanda,5987,3.1,7000,3.18,5473,-4.8,8399,8.94,9612,2.73,11056,2.84,12662,2.75
Saint Barthélemy,4,6.17,6,5.11,7,4.02,8,2.99,8,1.26,8,-0.47,8,-0.46
"Saint Helena, Ascension and Tristan da Cunha",8,4.19,7,-3.4,7,0.78,8,0.8,8,0.68,8,0.51,8,0.32
Saint Kitts and Nevis,43,-0.3,42,-0.6,44,0.7,46,1.14,48,0.97,50,0.82,52,0.8
Saint Lucia,132,1.36,138,0.98,147,1.27,154,0.91,158,0.53,161,0.45,164,0.37
Saint Martin,16,15.22,31,14.31,33,1.72,29,-2.8,28,-0.34,31,1.62,32,0.99
Saint Pierre and Miquelon,7,0.56,7,0.52,7,0.26,7,0.02,7,-0.66,6,-0.84,6,-0.98
Saint Vincent and the Grenadines,104,1.14,108,0.67,109,0.26,108,-0.17,107,-0.33,105,-0.35,103,-0.31
Samoa,161,0.21,163,0.26,169,0.73,177,0.85,185,0.92,193,0.8,198,0.59
San Marino,23,1.03,24,0.77,25,1.18,28,1.71,30,1.8,32,1.23,34,0.96
São Tomé and Príncipe,105,2.06,116,2.16,128,1.86,141,2.05,158,2.29,176,2.22,195,1.99
Saudi Arabia,13331,5.87,16061,3.8,18756,3.15,21312,2.59,23643,2.1,25732,1.71,27753,1.52
Senegal,6379,2.6,7348,2.87,8379,2.66,9470,2.48,10805,2.67,12324,2.67,13976,2.55
Serbia,7720,0.35,7787,0.17,7692,-0.25,7605,-0.23,7503,-0.27,7345,-0.42,7177,-0.46
Seychelles,68,0.99,71,1.06,75,1.14,80,1.1,84,1.17,89,1.04,93,0.91
Sierra Leone,3704,2.12,4229,2.69,3882,-1.7,3810,-0.38,4709,4.33,5246,2.19,5880,2.31
Singapore,2750,2.64,3048,2.07,3567,3.2,4064,2.64,4606,2.54,5141,2.22,5675,2.0
Sint Maarten,20,9.24,30,8.68,32,1.74,31,-0.73,34,1.81,38,2.38,41,1.54
Slovakia,5145,0.71,5263,0.45,5362,0.37,5401,0.14,5408,0.03,5427,0.07,5446,0.07
Slovenia,1915,0.87,1992,0.79,2003,0.12,2011,0.08,2012,0.01,2004,-0.08,1984,-0.2
Solomon Islands,273,3.41,322,3.31,376,3.15,434,2.95,496,2.71,560,2.44,623,2.17
Somalia,6459,2.2,6693,0.71,6401,-0.89,7501,3.22,8791,3.22,9768,2.13,10617,1.68
South Africa,34255,3.21,38504,2.37,42148,1.82,44914,1.28,48105,1.38,51123,1.22,53676,0.98
South Korea,40807,1.37,42870,0.99,45106,1.02,46839,0.76,48006,0.49,48637,0.26,49116,0.2
South Sudan,5320,2.65,4960,-1.39,5193,0.92,6297,3.93,7634,3.93,9585,4.66,12043,4.67
Spain,38535,0.55,39351,0.42,39765,0.21,40590,0.41,43705,1.49,46506,1.25,48147,0.7
Sri Lanka,15848,1.03,16862,1.25,17942,1.25,19042,1.2,20103,1.09,21084,0.96,22054,0.9
Sudan,17507,3.44,21130,3.83,24517,3.02,27068,2.0,29884,2.0,32997,2.0,36109,1.82
Suriname,395,2.18,417,1.07,428,0.55,465,1.64,504,1.65,546,1.62,580,1.21
Sweden,8357,0.11,8601,0.58,8878,0.64,8925,0.1,9083,0.35,9433,0.76,9802,0.77
Switzerland,6568,0.56,6844,0.83,7165,0.92,7278,0.31,7449,0.47,7770,0.85,8122,0.89
Syria,10479,3.7,12534,3.65,14487,2.94,16515,2.65,18615,2.42,21766,3.18,17065,-4.75
Taiwan,19338,1.62,20279,0.95,21291,0.98,22185,0.83,22728,0.48,23127,0.35,23416,0.25
Tajikistan,4569,2.87,5273,2.91,5679,1.49,6230,1.87,6815,1.81,7488,1.9,8192,1.81
Tanzania,21485,2.87,24805,2.92,29065,3.22,33194,2.69,38487,3.0,44289,2.85,51046,2.88
Thailand,51759,1.94,56097,1.62,59818,1.29,62902,1.01,65113,0.69,66721,0.49,67977,0.37
Timor-Leste,649,3.09,740,2.66,868,3.24,768,-2.43,985,5.11,1088,2.02,1232,2.5
Togo,3130,3.57,3721,3.52,4203,2.47,4992,3.5,5715,2.74,6588,2.88,7553,2.77
Tonga,95,0.55,97,0.39,98,0.24,101,0.55,104,0.63,106,0.45,107,0.16
Trinidad and Tobago,1190,1.74,1256,1.09,1265,0.14,1252,-0.2,1237,-0.24,1229,-0.13,1223,-0.1
Tunisia,7364,2.71,8208,2.19,8947,1.74,9508,1.22,10013,1.04,10526,1.0,11038,0.95
Turkey,50989,2.51,56545,2.09,61296,1.63,65970,1.48,70465,1.33,74687,1.17,79415,1.24
Turkmenistan,3241,2.42,3659,2.46,4079,2.2,4386,1.46,4665,1.24,4941,1.16,5232,1.15
Turks and Caicos Islands,10,4.53,12,4.33,15,5.35,20,5.22,28,7.44,44,9.39,51,3.08
Tuvalu,9,1.81,10,2.37,10,1.22,11,0.59,11,0.26,11,0.59,11,0.75
Uganda,13811,2.82,16549,3.68,19641,3.48,22917,3.13,26917,3.27,31508,3.2,37102,3.32
Ukraine,50945,0.36,51623,0.26,51248,-0.15,49014,-0.89,47003,-0.83,45769,-0.53,44430,-0.59
United Arab Emirates,1364,6.39,1827,6.02,2458,6.12,3220,5.54,4087,4.89,4976,4.02,5780,3.04
United Kingdom,56585,0.1,57411,0.29,58187,0.27,59140,0.33,60488,0.45,62349,0.61,64089,0.55
United States,237924,0.92,249623,0.96,266279,1.3,282163,1.17,295517,0.93,309348,0.92,321369,0.77
United States Virgin Islands,101,0.22,104,0.63,108,0.73,109,0.15,108,-0.14,107,-0.3,104,-0.51
Uruguay,3019,0.6,3086,0.44,3151,0.42,3220,0.44,3265,0.28,3302,0.22,3342,0.25
Uzbekistan,18216,2.64,20531,2.42,23068,2.36,25042,1.66,26540,1.17,27866,0.98,29200,0.94
Vanuatu,135,2.9,154,2.69,173,2.31,192,2.1,218,2.62,246,2.4,273,2.11
Venezuela,16998,2.85,19326,2.6,21550,2.2,23493,1.74,25270,1.47,27224,1.5,29276,1.46
Vietnam,60094,2.27,67259,2.28,73784,1.87,79178,1.42,84425,1.29,89572,1.19,94349,1.04
Wallis and Futuna,14,3.78,14,0.72,15,0.79,15,0.91,16,0.58,16,0.33,16,0.35
Western Sahara,180,7.65,218,3.92,264,3.95,337,4.97,416,4.32,492,3.42,571,3.04
Yemen,10540,2.91,12417,3.33,14832,3.62,17236,3.05,20003,3.02,23210,3.02,26738,2.87
Zambia,6536,3.36,7604,3.07,8691,2.71,9984,2.81,11373,2.64,13042,2.78,15067,2.93
Zimbabwe,8561,3.61,10157,3.48,11160,1.9,11821,1.16,11640,-0.31,11652,0.02,14230,4.08
World,4856463,1.76,5288956,1.72,5699203,1.51,6088572,1.33,6473045,1.23,6866333,1.19,7256491,1.11
