NOC,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Gold-2004,Silver-2004,Bronze-2004,Total-2004,GDP-2004,GDP-2008,GDP-2012,GDP-2016,pop-2004,pop-2008,pop-2012,pop-2016
Botswana,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9775.0,13068.0,13092,16639,1841,2030,2030,2183
Cyprus,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28235.0,34994.0,31906,35852,1011,1103,1103,1190
Gabon,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14618.0,15247.0,15487,14490,1396,1546,1546,1706
Guatemala,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307.0,6455.0,7018,7847,12183,13551,13551,14919
Montenegro,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9776.0,14012.0,13864,18198,700,667,667,648
Portugal,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,22832.0,26573.0,26438,31604,10567,10736,10736,10826
Uzbekistan,0.0,0.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,2.0,7.0,13.0,2.0,1.0,2.0,5.0,3374.0,4894.0,6107,6856,26540,27866,27866,29200
Greece,0.0,0.0,2.0,2.0,0.0,2.0,1.0,3.0,3.0,1.0,2.0,6.0,6.0,6.0,4.0,16.0,25345.0,30519.0,24819,27449,10669,10750,10750,10776
Singapore,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54317.0,67641.0,82065,89417,4606,5141,5141,5675
Afghanistan,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.0,1512.0,2318,2401,26335,29121,29121,32565
Cameroon,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2303.0,2632.0,2855,3405,18132,20823,20823,23740
Hong Kong,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,34456.0,46777.0,52082,56907,6905,7030,7030,7142
Kuwait,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60785.0,69575.0,72736,40844,2257,2544,2544,2789
Morocco,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,4663.0,6008.0,6857,7356,29901,31628,31628,33323
Saudi Arabia,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45739.0,52302.0,57284,46423,23643,25732,25732,27753
Tajikistan,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1568.0,2128.0,2709,3071,6815,7488,7488,8192
