NOC,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Gold-2004,Silver-2004,Bronze-2004,Total-2004,Country,GDP-2004,GDP-2008,GDP-2012,GDP-2016
Indonesia,0.0,2.0,1.0,3.0,1.0,1.0,4.0,6.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,4.0,Indonesia,5859.0,7850.0,9834.0,10619.0
Slovakia,0.0,1.0,3.0,4.0,3.0,3.0,0.0,6.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,6.0,Slovakia,16258.0,24471.0,26983.0,29681.0
Belgium,0.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,2.0,3.0,Belgium,33545.0,39760.0,42409.0,48680.0
Armenia,0.0,1.0,1.0,2.0,0.0,1.0,4.0,5.0,1.0,3.0,0.0,4.0,,,,,Armenia,4562.0,8111.0,9094.0,10502.0
Estonia,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,Estonia,17965.0,24997.0,25996.0,31310.0
Malaysia,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,5.0,,,,,Malaysia,15279.0,19711.0,22963.0,24780.0
Puerto Rico,0.0,1.0,1.0,2.0,,,,,1.0,0.0,0.0,1.0,,,,,Puerto Rico,28990.0,30775.0,32583.0,34300.0
Qatar,0.0,1.0,1.0,2.0,,,,,0.0,1.0,0.0,1.0,,,,,Qatar,119823.0,118534.0,169698.0,84269.0
Botswana,0.0,1.0,0.0,1.0,,,,,,,,,,,,,Botswana,9775.0,13068.0,13092.0,16639.0
Cyprus,0.0,1.0,0.0,1.0,,,,,,,,,,,,,Cyprus,28235.0,34994.0,31906.0,35852.0
Gabon,0.0,1.0,0.0,1.0,,,,,,,,,,,,,Gabon,14618.0,15247.0,15487.0,14490.0
Guatemala,0.0,1.0,0.0,1.0,,,,,,,,,,,,,Guatemala,5307.0,6455.0,7018.0,7847.0
Montenegro,0.0,1.0,0.0,1.0,,,,,,,,,,,,,Montenegro,9776.0,14012.0,13864.0,18198.0
Portugal,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,Portugal,22832.0,26573.0,26438.0,31604.0
Uzbekistan,0.0,0.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,2.0,7.0,13.0,2.0,1.0,2.0,5.0,Uzbekistan,3374.0,4894.0,6107.0,6856.0
Greece,0.0,0.0,2.0,2.0,0.0,2.0,1.0,3.0,3.0,1.0,2.0,6.0,6.0,6.0,4.0,16.0,Greece,25345.0,30519.0,24819.0,27449.0
Singapore,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,Singapore,54317.0,67641.0,82065.0,89417.0
Afghanistan,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,Afghanistan,1113.0,1512.0,2318.0,2401.0
Cameroon,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,1.0,0.0,0.0,1.0,Cameroon,2303.0,2632.0,2855.0,3405.0
Hong Kong,0.0,0.0,1.0,1.0,,,,,,,,,0.0,1.0,0.0,1.0,Hong Kong,34456.0,46777.0,52082.0,56907.0
Kuwait,0.0,0.0,1.0,1.0,,,,,,,,,,,,,Kuwait,60785.0,69575.0,72736.0,40844.0
Morocco,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,Morocco,4663.0,6008.0,6857.0,7356.0
Saudi Arabia,0.0,0.0,1.0,1.0,,,,,,,,,,,,,Saudi Arabia,45739.0,52302.0,57284.0,46423.0
Tajikistan,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,,,,,Tajikistan,1568.0,2128.0,2709.0,3071.0
Vietnam,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,,,,,Vietnam,3427.0,4783.0,6400.0,8316.0
Zimbabwe,,,,,1.0,3.0,0.0,4.0,,,,,1.0,1.0,1.0,3.0,Zimbabwe,1885.0,1465.0,2386.0,2667.0
Panama,,,,,1.0,0.0,0.0,1.0,,,,,,,,,Panama,9647.0,14299.0,18596.0,27829.0
Nigeria,,,,,0.0,3.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,Nigeria,3109.0,4094.0,5000.0,5235.0
Austria,,,,,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,7.0,Austria,35147.0,42746.0,46478.0,52660.0
Kyrgyzstan,,,,,0.0,1.0,2.0,3.0,,,,,,,,,Kyrgyzstan,2376.0,3048.0,3654.0,4728.0
Chile,,,,,0.0,1.0,0.0,1.0,,,,,2.0,0.0,1.0,3.0,Chile,14001.0,18262.0,21447.0,22752.0
Ecuador,,,,,0.0,1.0,0.0,1.0,,,,,,,,,Ecuador,7143.0,8892.0,10280.0,11009.0
Iceland,,,,,0.0,1.0,0.0,1.0,,,,,,,,,Iceland,33990.0,43576.0,42154.0,53943.0
Samoa,,,,,0.0,1.0,0.0,1.0,,,,,,,,,Samoa,3723.0,4576.0,4787.0,5524.0
Sudan,,,,,0.0,1.0,0.0,1.0,,,,,,,,,Sudan,3524.0,4382.0,3929.0,5569.0
Israel,,,,,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,Israel,22143.0,27761.0,31860.0,37864.0
Mauritius,,,,,0.0,0.0,1.0,1.0,,,,,,,,,Mauritius,11134.0,14367.0,16964.0,20701.0
Moldova,,,,,0.0,0.0,1.0,1.0,,,,,,,,,Moldova,4413.0,6200.0,7329.0,10527.0
Togo,,,,,0.0,0.0,1.0,1.0,,,,,,,,,Togo,1420.0,1429.0,1656.0,1954.0
Independent Olympic Athletes,,,,,,,,,1.0,0.0,1.0,2.0,,,,,,,,,
Ivory Coast,,,,,,,,,1.0,0.0,1.0,2.0,,,,,Ivory Coast,3164.0,3424.0,3563.0,4629.0
Fiji,,,,,,,,,1.0,0.0,0.0,1.0,,,,,Fiji,7756.0,8472.0,9660.0,12563.0
Jordan,,,,,,,,,1.0,0.0,0.0,1.0,,,,,Jordan,7475.0,9673.0,9301.0,9544.0
Kosovo,,,,,,,,,1.0,0.0,0.0,1.0,,,,,Kosovo,5890.0,7373.0,8438.0,10028.0
Burundi,,,,,,,,,0.0,1.0,0.0,1.0,,,,,Burundi,521.0,629.0,685.0,794.0
Niger,,,,,,,,,0.0,1.0,0.0,1.0,,,,,Niger,839.0,1016.0,1156.0,1148.0
Philippines,,,,,,,,,0.0,1.0,0.0,1.0,,,,,Philippines,4174.0,5298.0,6360.0,7789.0
United Arab Emirates,,,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,United Arab Emirates,110145.0,70074.0,74088.0,65651.0
Serbia and Montenegro,,,,,,,,,,,,,0.0,2.0,0.0,2.0,Serbia and Montenegro,9314.5,13519.0,13901.5,17027.0
Paraguay,,,,,,,,,,,,,0.0,1.0,0.0,1.0,Paraguay,7288.0,9120.0,9957.0,11907.0
Eritrea,,,,,,,,,,,,,0.0,0.0,1.0,1.0,Eritrea,1279.0,1049.0,1669.0,1701.0
Syria,,,,,,,,,,,,,0.0,0.0,1.0,1.0,Syria,4816.0,5938.0,6374.0,6374.0
