Country (or dependent territory),1985,%,1990,%.1,1995,%.2,2000,%.3,2005,%.4,2010,%.5,2015,%.6
Madagascar,10029000,2900.0,11633000,3010.0,13533000,3070.0,15713000,3030.0,18132000,2910.0,20847000,2830.0,23813000,2700.0
Malawi,7321000,3190.0,9360000,5040.0,9809000,940.0,11130000,2560.0,12864000,2940.0,15183000,3370.0,17965000,3420.0
Malaysia,15650000,3060.0,17883000,2700.0,20340000,2610.0,23152000,2620.0,25969000,2320.0,28275000,1720.0,30514000,1540.0
Maldives,178000,3010.0,217000,4090.0,261000,3770.0,300000,2860.0,337000,2310.0,396000,3310.0,394000,-120.0
Mali,7623000,2110.0,8487000,2170.0,9489000,2260.0,10788000,2600.0,12528000,3040.0,14583000,3090.0,16956000,3060.0
Malta,348000,-950.0,360000,690.0,377000,970.0,390000,680.0,399000,440.0,407000,410.0,414000,350.0
Marshall Islands,39000,4500.0,46000,3690.0,50000,1610.0,54000,1350.0,60000,2170.0,66000,2190.0,73000,1850.0
Mauritania,1724000,2210.0,1925000,2240.0,2235000,3030.0,2501000,2280.0,2838000,2560.0,3206000,2460.0,3597000,2330.0
Mauritius,1021000,1150.0,1062000,790.0,1124000,1130.0,1186000,1090.0,1243000,940.0,1295000,810.0,1340000,700.0
Mexico,76601000,2310.0,84635000,2009.9999999999998,92584000,1810.0,99776000,1510.0,106577000,1330.0,114062000,1370.0,121737000,1310.0
Moldova,4149000,750.0,4375000,1070.0,4356000,-90.0,4181000,-820.0,3949000,-1140.0,3732000,-1120.0,3547000,-1010.0
Monaco,29000,1200.0,30000,1240.0,31000,620.0,32000,600.0,32000,-480.0,31000,-330.0,31000,-30.0
Mongolia,1860000,2350.0,2122000,2670.0,2307000,1690.0,2461000,1300.0,2603000,1130.0,2784000,1350.0,2993000,1460.0
Montenegro,561000,20.0,584000,800.0,671000,2830.0,733000,1780.0,700000,-920.0,667000,-950.0,648000,-600.0
Montserrat,12000,-770.0,11000,-1070.0,11000,-870.0,4000,-17390.0,5000,2770.0,6000,2470.0,6000,480.0
Morocco,21644000,2120.0,24000000,2090.0,26148000,1730.0,28114000,1460.0,29901000,1240.0,31628000,1130.0,33323000,1050.0
Mozambique,13294000,1890.0,12990000,-460.0,15889000,4110.0,17997000,2520.0,20069000,2200.0,22418000,2240.0,25304000,2450.0
Myanmar,36766000,1980.0,40464000,1940.0,43994000,1690.0,47439000,1520.0,50573000,1290.0,53415000,1100.0,56321000,1070.0
Namibia,1205000,2620.0,1471000,4080.0,1682000,2720.0,1894000,2400.0,2029000,1390.0,2129000,970.0,2213000,780.0
Nauru,9000,2009.9999999999998,10000,2180.0,10000,690.0,10000,80.0,11000,310.0,10000,-1540.0,10000,580.0
Nepal,16570000,2470.0,18919000,2690.0,21877000,2950.0,24819000,2560.0,27094000,1770.0,28952000,1340.0,31552000,1730.0
Netherlands,14505000,490.0,14966000,630.0,15477000,670.0,15931000,580.0,16300000,460.0,16574000,330.0,16948000,450.0
New Caledonia,153000,1820.0,169000,2050.0,192000,2570.0,212000,1950.0,233000,1930.0,253000,1660.0,272000,1480.0
New Zealand,3324000,950.0,3414000,530.0,3643000,1300.0,3803000,860.0,4049000,1260.0,4253000,990.0,4439000,860.0
Nicaragua,3181000,2560.0,3644000,2760.0,4402000,3850.0,4867000,2029.9999999999998,5268000,1600.0,5605000,1250.0,5908000,1060.0
Niger,6870000,2430.0,7826000,2640.0,9111000,3090.0,10726000,3320.0,12783000,3570.0,15271000,3620.0,18046000,3400.0
Nigeria,84898000,2560.0,96685000,2630.0,109753000,2570.0,123946000,2460.0,141190000,2640.0,160342000,2580.0,181563000,2520.0
North Korea,18831000,1600.0,20452000,1670.0,22108000,1570.0,22785000,610.0,23621000,720.0,24326000,590.0,24984000,530.0
North Macedonia,1845000,580.0,1862000,180.0,1955000,980.0,2015000,610.0,2046000,300.0,2073000,260.0,2097000,230.0
Northern Mariana Islands,22000,4830.0,45000,15540.0,58000,5380.0,70000,4019.9999999999995,71000,270.0,54000,-5400.0,53000,-440.0
Norway,4153000,320.0,4243000,430.0,4360000,550.0,4493000,600.0,4625000,580.0,4892000,1130.0,5208000,1260.0
Oman,1498000,4780.0,1795000,3690.0,2139000,3570.0,2433000,2610.0,2697000,2090.0,2968000,1930.0,3287000,2060.0
Pakistan,102079000,3680.0,118817000,3080.0,134186000,2460.0,152430000,2580.0,169279000,2120.0,184405000,1730.0,199086000,1540.0
Palau,14000,730.0,16000,1950.0,18000,2610.0,20000,2410.0,21000,840.0,21000,540.0,22000,370.0
Palestine,1578000,3000.0,1899000,3770.0,2508000,5720.0,3111000,4400.0,3599000,2960.0,4120000,2740.0,4656000,2480.0
Panama,2168000,2040.0,2394000,2000.0,2639000,1970.0,2900000,1910.0,3156000,1700.0,3411000,1570.0,3658000,1400.0
Papua New Guinea,3229000,2550.0,3683000,2670.0,4216000,2740.0,4813000,2680.0,5440000,2480.0,6065000,2200.0,6673000,1930.0
Paraguay,3634000,2760.0,4201000,2940.0,4826000,2810.0,5419000,2340.0,5926000,1810.0,6376000,1480.0,6784000,1250.0
Peru,19380000,2300.0,21565000,2160.0,23864000,2050.0,25797000,1570.0,27443000,1240.0,28948000,1070.0,30445000,1010.0
Philippines,54589000,2480.0,61481000,2410.0,68472000,2180.0,76452000,2230.0,84965000,2130.0,93137000,1850.0,100999000,1630.0
Poland,37226000,910.0,38120000,480.0,38601000,250.0,38655000,30.0,38557000,-50.0,38617000,30.0,38563000,-30.0
Portugal,9898000,240.0,9923000,50.0,10066000,290.0,10336000,530.0,10567000,440.0,10736000,320.0,10826000,170.0
Puerto Rico,3383000,1050.0,3537000,900.0,3684000,810.0,3811000,680.0,3822000,60.0,3722000,-530.0,3599000,-670.0
